cct_type,cct_element,f_bus,t_bus,f_bus_x,f_bus_y,t_bus_x,t_bus_y,linestring,slijnem_b,slijnem_f,slijnem_b_p,slijnem_f_p,slijnem_b_m,slijnem_f_m,slijnem_b_r,slijnem_f_r
branch,xf_2101_to_2228_4_2winding_transformer,602,1617,0.08,-7.53,0.032,-7.716,"LINESTRING(0.08 -7.53, 0.032 -7.716)",39.75050071359641,25.144804193985788,40.501909319303444,21.942296378233312,39.5863613003678,27.043888330235923,42.828763836489415,14.319082153348392
branch,Dec20_line_4233_to_4234_1_dec,1585,1601,-4.52,-4.46,-4.74,-4.448,"LINESTRING(-4.52 -4.46, -4.74 -4.448)",32.45391285634902,32.45391662584336,39.26096292695955,39.26274005413407,27.4511572404807,27.451159596782382,39.24654383606013,39.26696262125179
branch,xf_3471_to_3545_2_2winding_transformer,558,1327,-0.956,5.86,-1.2,6.098,"LINESTRING(-0.956 5.86, -1.2 6.098)",9.116185402731453,9.105466926521007,9.795507939783679,10.338809231216496,7.735413453668033,7.710270093396361,9.996387014324501,7.70075916138072
branch,xf_4257_4379_4434_2_3winding_transformer_br3,1526,1708,-4.196,-8.026,-4.168,-8.04,"LINESTRING(-4.196 -8.026, -4.168 -8.04)",0.0,0.0,0.0,0.0,0.0,3.559639406521294e-19,0.0,0.0
branch,xf_1270_to_1032_3_2winding_transformer,768,773,2.592,-0.664,2.584,-0.618,"LINESTRING(2.592 -0.664, 2.584 -0.618)",0.807638900609867,0.827111654901215,2.319453096492442,21.10035026380915,0.6172333947246482,0.5923981845286563,1.388773635356217,20.985288133832665
branch,line_1221_to_1372_1_cp,672,423,2.474,-0.89,2.756,-0.788,"LINESTRING(2.474 -0.89, 2.756 -0.788)",29.920569350766748,28.64298339925516,34.43904445788657,33.64074528723411,26.8770566228907,25.7745283294375,34.45500543545229,33.36099686357106
branch,line_3063_to_3285_1_cp,1547,361,-2.436,11.786,-2.13,11.594,"LINESTRING(-2.436 11.786, -2.13 11.594)",0.0,5.886922503900585e-20,0.0,4.293828534338535e-30,0.0,1.9687696379895203e-18,0.0,4.863710447977094e-27
branch,line_3412_to_3471_2_cp,456,558,-0.656,5.912,-0.956,5.86,"LINESTRING(-0.656 5.912, -0.956 5.86)",11.007128417249632,11.00705655494493,13.426966814884336,13.42868837263309,9.267644534022738,9.267603931400743,13.430320156921555,13.412958944650615
branch,xf_2077_2205_2346_2_3winding_transformer_br3,1005,988,-0.784,-6.396,-0.714,-6.284,"LINESTRING(-0.784 -6.396, -0.714 -6.284)",29.58220184015119,29.58219261940156,35.644254453722816,35.650987705076105,25.075161421092712,25.075324536429466,35.64187056142068,35.64916713289386
branch,line_4123_to_4239_1_pi,1575,1787,-4.38,-5.756,-4.404,-5.008,"LINESTRING(-4.38 -5.756, -4.404 -5.008)",14.512692957498308,14.512688114019209,17.461801054855528,17.461758747815942,12.311674791400018,12.311672236467354,17.46190523907341,17.46184424897769
